idea title,idea description,skills,difficulty,duration
Google Summer of Code (GSoC) 2024 ideas page,This page contains ideas for Google Summer of Code 2024. New projects are being added as mentors are confirmed.,"Rust, C, Flutter, Docker, GitHub actions",Hard,350 hours
Virtual Reality,Develop a Virtual Desktop tool for VR headsets that connects computers to headsets and creates virtual desktops.,"C, C++, Rust",Medium-Hard,350 hours
Flutter,Create the Ultimate Alarm Clock II with unique features using Flutter.,Flutter,Medium,350 hours
Systems,Develop a URL shortener with unique features and a TaskServer platform for syncing tasks.,Any language,Medium-Hard,175-350 hours
New things we're currently interested in,"Projects include Mouseless for Linux v2, Desktop Actions in Ilia, and more.",Your choice,Unknown,175 hours
About us,"Information about the organization, mentors, communication channels, and expectations from students.",N/A,N/A,N/A
Perks,"Details about perks for accepted students, including programming books, access to online courses, and resources.",N/A,N/A,N/A
About what we use,"Overview of the tools and technologies used by the organization, including C, Rust, Flutter, Python, and more.",N/A,N/A,N/A
About sample media and other resources,"Information about sample media, shared development server, and resources provided to students.",N/A,N/A,N/A
About the projects and getting accepted,"Criteria for selection, qualification tasks, contributions to open-source projects, and proposal requirements.",N/A,N/A,N/A
